,language,total_files,db_total_files,fiction_files,db_fiction_files,non.fiction_files,db_non_fiction_files,conversation_files,db_conversation_files,professional_files,db_professional_files,grammar_files,db_grammar_files,fiction_lines,db_fiction_lines,non.fiction_lines,db_non_fiction_lines,conversation_lines,db_conversation_lines,professional_lines,db_professional_lines,grammar_lines,db_grammar_lines,total_lines,db_total_lines,delta_total_lines
61,Oromo_Harar_hae,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7956,0,NA,0,NA,0,NA,7958,7956,2
62,Otomi_Mezquital_ote,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,211,91,0,NA,211,91,120
63,Persian_pes,1175,1175,1,1,1173,1173,0,NA,1,1,0,NA,1018,1018,996674,996809,0,NA,210,90,0,NA,997902,997917,15
64,Quechua_Imbabura_qvi,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7786,7786,0,NA,0,NA,0,NA,7786,7786,0
65,Rama_rma,2,2,0,NA,1,1,0,NA,0,NA,1,1,0,NA,37,36,0,NA,0,NA,156,127,193,163,30
66,Rapanui_rap,3,3,0,NA,3,3,0,NA,0,NA,0,NA,0,NA,189,186,0,NA,0,NA,0,NA,189,186,3
67,Russian_rus,1586,1586,4,4,1581,1581,0,NA,1,1,0,NA,5855,5826,1005742,1006078,0,NA,213,92,0,NA,1011810,1011996,186
68,Sango_sag,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7958,7956,0,NA,213,93,0,NA,8171,8049,122
69,Sanuma_xsu,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7958,7798,0,NA,0,NA,0,NA,7958,7798,160
70,Spanish_spa,1475,1475,119,119,1355,1355,0,NA,1,1,0,NA,557101,555446,898348,899554,0,NA,213,92,0,NA,1455662,1455092,570
71,Swahili_swh,3,3,0,NA,2,2,0,NA,1,1,0,NA,0,NA,7944,7944,0,NA,213,93,0,NA,8157,8037,120
72,Tagalog_tgl,100,100,55,55,44,44,0,NA,1,1,0,NA,108221,108206,42763,42692,0,NA,216,96,0,NA,151200,150994,206
73,Thai_tha,1002,1002,0,NA,1001,1001,0,NA,1,1,0,NA,0,NA,817050,820679,0,NA,210,90,0,NA,817260,820769,3509
74,Turkish_tur,1923,1923,0,NA,1922,1922,0,NA,1,1,0,NA,0,NA,1167028,1167955,0,NA,212,92,0,NA,1167240,1168047,807
75,Vietnamese_vie,861,861,0,NA,859,859,0,NA,2,2,0,NA,0,NA,721520,721628,0,NA,428,186,0,NA,721948,721814,134
76,Warao_wba,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,43,42,0,NA,0,NA,0,NA,43,42,1
77,Wichi_mzh,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,31157,30448,0,NA,0,NA,0,NA,31157,30448,709
78,Wichita_wic,2,2,0,NA,0,NA,2,2,0,NA,0,NA,0,NA,0,NA,147,144,0,NA,0,NA,147,144,3
79,Yagua_yad,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,7957,7467,0,NA,213,92,0,NA,8170,7559,611
80,Yaqui_yaq,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,7957,7935,0,NA,0,NA,0,NA,7957,7935,22
81,Yoruba_yor,2,2,0,NA,1,1,0,NA,1,1,0,NA,0,NA,30819,30767,0,NA,211,90,0,NA,31030,30857,173
82,Zoque_Copainala_zoc,1,1,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,147,146,0,NA,0,NA,0,NA,147,146,1
83,Zulu_zul,1,1,0,NA,0,NA,0,NA,1,1,0,NA,0,NA,0,NA,0,NA,212,92,0,NA,212,92,120
