# language_name_wals:	Jakaltek
# language_name_glotto:	Popti'
# iso639_3:	jac
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Eastern Jacalteco. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/JACWBT/Matt/1
# copyright_short:	© Wycliffe Bible Translators1997
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40004005	Lahwi tu' yinito naj matzwalil Comam yul con̈ob Jerusal'en , iscon̈ob Comam Dios , yinato naj Comam yin̈ iswi' yatut Comam bey tu' ,
40004006	yalni naj tet Comam : -- Tato caw yeli Isc'ahol Dios hawehi k'ojayto haba bey ti' , yuto tz'ibn̈ebilcano yul Yum Comam Dios haca' ti' : Chak'ati Comam Dios y'angel chachistan̈e' yun̈e mach chaẍischayo ebnaj sat tx'otx' , haxinwal mach chilahwi hawoj yin̈ ch'en ch'en , ẍiayoj , ẍi naj .
40004007	Istak'wi Comam Jes'us tet naj : -- Tz'ibn̈ebilpaxcanayo yul Yum Comam Dios haca' ti' : " Mach chinheyacojan yin̈ ilwebal yuto Heyahawil yeb heDiosal wehan , " ẍiayoj , ẍi Comam .
40004008	Lahwi tu' yinito naj Comam yin̈ iswi' hune' witz caw nahat yecanocan̈ , isyeni naj sunilej con̈ob ay yul sat yiban̈k'inal ti' yeb isk'alomal con̈ob tu' tet Comam .
40004009	Yalni naj tet Comam : -- Sunil huntek'an chawil ti' chiwak'an tawet , yaj tato chaẍay jahno insatajan cat hawinayo haba wetan , ẍi naj tet Comam .
40004010	Istak'wi Comam : -- Ach matzwalil hitzan̈ilo inc'atan̈an yuto chal yul Yum Comam Dios haca' ti' : " Iweyo heba tet Comam Dios yuto Heyahawil yeb heDiosal ye Comam , han̈e tet Comam xin cheyije tzet chala , " ẍiayoj , ẍi Comam .
40004011	Yet yalni Comam Jes'us haca' tu' isbejnicano naj Comam , yapni huntek'an ebnaj 'angel colwal yin̈ Comam .
40004012	Hayet yaben Comam Jes'us tato alaxicto naj Juan anican̈ ha' iswi' anma yul preso , isto Comam yul ismajul Galilea .
40004013	Yaja' xin mach cancano Comam yul con̈ob Nazaret , wal xin to Comam yul con̈ob Capernaum , ha' tu' xin ehayo Comam . Hune' con̈ob tu' ayayo isti' ha' mar Galilea , tx'otx' chiyij Zabul'on yeb Neftal'i .
40004014	Hac tu' yu yijni isba tzet tz'ibn̈ebilcano yu naj Isa'ias , ischejab Comam Dios yet payat , bay chala :
