language_name_glotto,filename,source
Basque,eus_nfi_232.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_233.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_234.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_235.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_236.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_237.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_238.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_239.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_24.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_240.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_241.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_242.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_243.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_244.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_245.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_246.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_247.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_248.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_249.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_25.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_250.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_251.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,eus_nfi_252.txt,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
