"Grapheme","Frequency","Codepoint","UnicodeName"
"Ü",4477,"U+00DC","LATIN CAPITAL LETTER U WITH DIAERESIS"
"5",4100,"U+0035","DIGIT FIVE"
"3",3917,"U+0033","DIGIT THREE"
"Ä",3862,"U+00C4","LATIN CAPITAL LETTER A WITH DIAERESIS"
"Y",3533,"U+0059","LATIN CAPITAL LETTER Y"
"4",3222,"U+0034","DIGIT FOUR"
"9",2674,"U+0039","DIGIT NINE"
"q",2368,"U+0071","LATIN SMALL LETTER Q"
"6",2342,"U+0036","DIGIT SIX"
"8",2260,"U+0038","DIGIT EIGHT"
"7",2199,"U+0037","DIGIT SEVEN"
"Q",2196,"U+0051","LATIN CAPITAL LETTER Q"
"*",1809,"U+002A","ASTERISK"
"Ö",1615,"U+00D6","LATIN CAPITAL LETTER O WITH DIAERESIS"
"Ã",1375,"U+00C3","LATIN CAPITAL LETTER A WITH TILDE"
"♪",1201,"U+266A","EIGHTH NOTE"
";",1200,"U+003B","SEMICOLON"
"X",1047,"U+0058","LATIN CAPITAL LETTER X"
"{",967,"U+007B","LEFT CURLY BRACKET"
"}",962,"U+007D","RIGHT CURLY BRACKET"
"\",962,"U+005C","REVERSE SOLIDUS"
"é",827,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"~",655,"U+007E","TILDE"
"$",637,"U+0024","DOLLAR SIGN"
"%",540,"U+0025","PERCENT SIGN"
"¼",499,"U+00BC","VULGAR FRACTION ONE QUARTER"
"ë",491,"U+00EB","LATIN SMALL LETTER E WITH DIAERESIS"
"¤",313,"U+00A4","CURRENCY SIGN"
"#",299,"U+0023","NUMBER SIGN"
"ï",277,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"/",262,"U+002F","SOLIDUS"
"í",255,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"ñ",229,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"",187,"U+009F","<control-009F>"
"è",154,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"=",132,"U+003D","EQUALS SIGN"
"ó",132,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"â",122,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
