"Grapheme","Frequency","Codepoint","UnicodeName"
":",5130,"U+003A","COLON"
"रू",5126,"U+0930, U+0942","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN UU"
"ष",5030,"U+0937","DEVANAGARI LETTER SSA"
"ली",5002,"U+0932, U+0940","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN II"
"ण",4918,"U+0923","DEVANAGARI LETTER NNA"
"हि",4902,"U+0939, U+093F","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN I"
"रि",4882,"U+0930, U+093F","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN I"
"हें",4767,"U+0939, U+0947, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA"
"ष्",4759,"U+0937, U+094D","DEVANAGARI LETTER SSA, DEVANAGARI SIGN VIRAMA"
"तू",4510,"U+0924, U+0942","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN UU"
"भा",4479,"U+092D, U+093E","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN AA"
"फि",4412,"U+092B, U+093F","DEVANAGARI LETTER PHA, DEVANAGARI VOWEL SIGN I"
"शा",4350,"U+0936, U+093E","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN AA"
"दो",4208,"U+0926, U+094B","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN O"
"हाँ",4185,"U+0939, U+093E, U+0901","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN CANDRABINDU"
"दी",4012,"U+0926, U+0940","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN II"
"च्",3887,"U+091A, U+094D","DEVANAGARI LETTER CA, DEVANAGARI SIGN VIRAMA"
"ड",3768,"U+0921","DEVANAGARI LETTER DDA"
"नु",3717,"U+0928, U+0941","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN U"
"झ",3714,"U+091D","DEVANAGARI LETTER JHA"
"ठ",3604,"U+0920","DEVANAGARI LETTER TTHA"
"थे",3596,"U+0925, U+0947","DEVANAGARI LETTER THA, DEVANAGARI VOWEL SIGN E"
"ज्",3593,"U+091C, U+094D","DEVANAGARI LETTER JA, DEVANAGARI SIGN VIRAMA"
"सि",3565,"U+0938, U+093F","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN I"
"बे",3498,"U+092C, U+0947","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN E"
"ड़ा",3467,"U+0921, U+093C, U+093E","DEVANAGARI LETTER DDA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN AA"
"मी",3418,"U+092E, U+0940","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN II"
"॥",3381,"U+0965","DEVANAGARI DOUBLE DANDA"
"गी",3331,"U+0917, U+0940","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN II"
"दू",3265,"U+0926, U+0942","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN UU"
"घ",3255,"U+0918","DEVANAGARI LETTER GHA"
"हूँ",3230,"U+0939, U+0942, U+0901","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN UU, DEVANAGARI SIGN CANDRABINDU"
"जी",3170,"U+091C, U+0940","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN II"
"हों",3099,"U+0939, U+094B, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"रों",3076,"U+0930, U+094B, U+0902","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"हां",3063,"U+0939, U+093E, U+0902","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA"
"धि",2996,"U+0927, U+093F","DEVANAGARI LETTER DHA, DEVANAGARI VOWEL SIGN I"
"फ",2962,"U+092B","DEVANAGARI LETTER PHA"
"पू",2942,"U+092A, U+0942","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN UU"
"सो",2942,"U+0938, U+094B","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN O"
"पि",2935,"U+092A, U+093F","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN I"
"ओं",2905,"U+0913, U+0902","DEVANAGARI LETTER O, DEVANAGARI SIGN ANUSVARA"
"ऐ",2881,"U+0910","DEVANAGARI LETTER AI"
"ड़े",2875,"U+0921, U+093C, U+0947","DEVANAGARI LETTER DDA, DEVANAGARI SIGN NUKTA, DEVANAGARI VOWEL SIGN E"
