"Grapheme","Frequency","Codepoint","UnicodeName"
"לַ",248,"U+05DC, U+05B7","HEBREW LETTER LAMED, HEBREW POINT PATAH"
"אֲ",245,"U+05D0, U+05B2","HEBREW LETTER ALEF, HEBREW POINT HATAF PATAH"
"חַ",245,"U+05D7, U+05B7","HEBREW LETTER HET, HEBREW POINT PATAH"
"Z",220,"U+005A","LATIN CAPITAL LETTER Z"
"לֹ",217,"U+05DC, U+05B9","HEBREW LETTER LAMED, HEBREW POINT HOLAM"
"רְ",215,"U+05E8, U+05B0","HEBREW LETTER RESH, HEBREW POINT SHEVA"
"בֶּ",199,"U+05D1, U+05BC, U+05B6","HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT SEGOL"
"מֶ",198,"U+05DE, U+05B6","HEBREW LETTER MEM, HEBREW POINT SEGOL"
"*",189,"U+002A","ASTERISK"
"רָ",189,"U+05E8, U+05B8","HEBREW LETTER RESH, HEBREW POINT QAMATS"
"נַ",186,"U+05E0, U+05B7","HEBREW LETTER NUN, HEBREW POINT PATAH"
"אֱ",184,"U+05D0, U+05B1","HEBREW LETTER ALEF, HEBREW POINT HATAF SEGOL"
"אַ",175,"U+05D0, U+05B7","HEBREW LETTER ALEF, HEBREW POINT PATAH"
"X",173,"U+0058","LATIN CAPITAL LETTER X"
"דֵ",170,"U+05D3, U+05B5","HEBREW LETTER DALET, HEBREW POINT TSERE"
"הִ",170,"U+05D4, U+05B4","HEBREW LETTER HE, HEBREW POINT HIRIQ"
"בֵּ",169,"U+05D1, U+05BC, U+05B5","HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT TSERE"
"¶",168,"U+00B6","PILCROW SIGN"
"/",168,"U+002F","SOLIDUS"
"בְּ",165,"U+05D1, U+05BC, U+05B0","HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT SHEVA"
"q",162,"U+0071","LATIN SMALL LETTER Q"
"Q",159,"U+0051","LATIN CAPITAL LETTER Q"
"שְׁ",159,"U+05E9, U+05C1, U+05B0","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT, HEBREW POINT SHEVA"
"אִ",153,"U+05D0, U+05B4","HEBREW LETTER ALEF, HEBREW POINT HIRIQ"
"לָ",152,"U+05DC, U+05B8","HEBREW LETTER LAMED, HEBREW POINT QAMATS"
"​",148,"U+200B","ZERO WIDTH SPACE"
"הַ",148,"U+05D4, U+05B7","HEBREW LETTER HE, HEBREW POINT PATAH"
"שָׁ",147,"U+05E9, U+05C1, U+05B8","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT, HEBREW POINT QAMATS"
"בָּ",143,"U+05D1, U+05BC, U+05B8","HEBREW LETTER BET, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT QAMATS"
"מַ",142,"U+05DE, U+05B7","HEBREW LETTER MEM, HEBREW POINT PATAH"
"רִ",127,"U+05E8, U+05B4","HEBREW LETTER RESH, HEBREW POINT HIRIQ"
"מִ",122,"U+05DE, U+05B4","HEBREW LETTER MEM, HEBREW POINT HIRIQ"
"מְ",116,"U+05DE, U+05B0","HEBREW LETTER MEM, HEBREW POINT SHEVA"
"זִ",114,"U+05D6, U+05B4","HEBREW LETTER ZAYIN, HEBREW POINT HIRIQ"
"אָ",109,"U+05D0, U+05B8","HEBREW LETTER ALEF, HEBREW POINT QAMATS"
"אֵ",102,"U+05D0, U+05B5","HEBREW LETTER ALEF, HEBREW POINT TSERE"
"שֶׁ",100,"U+05E9, U+05C1, U+05B6","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT, HEBREW POINT SEGOL"
"יָ",96,"U+05D9, U+05B8","HEBREW LETTER YOD, HEBREW POINT QAMATS"
"חָ",95,"U+05D7, U+05B8","HEBREW LETTER HET, HEBREW POINT QAMATS"
"קָ",92,"U+05E7, U+05B8","HEBREW LETTER QOF, HEBREW POINT QAMATS"
"נָ",86,"U+05E0, U+05B8","HEBREW LETTER NUN, HEBREW POINT QAMATS"
"דִ",84,"U+05D3, U+05B4","HEBREW LETTER DALET, HEBREW POINT HIRIQ"
"מֵ",81,"U+05DE, U+05B5","HEBREW LETTER MEM, HEBREW POINT TSERE"
"זֶ",76,"U+05D6, U+05B6","HEBREW LETTER ZAYIN, HEBREW POINT SEGOL"
"‎",72,"U+200E","LEFT-TO-RIGHT MARK"
"הֲ",72,"U+05D4, U+05B2","HEBREW LETTER HE, HEBREW POINT HATAF PATAH"
