"Grapheme","Frequency","Codepoint","UnicodeName"
"อี",20821,"U+0E2D, U+0E35","THAI CHARACTER O ANG, THAI CHARACTER SARA II"
"ติ",20541,"U+0E15, U+0E34","THAI CHARACTER TO TAO, THAI CHARACTER SARA I"
"สิ",20503,"U+0E2A, U+0E34","THAI CHARACTER SO SUA, THAI CHARACTER SARA I"
"ศ",20283,"U+0E28","THAI CHARACTER SO SALA"
"ว้",19636,"U+0E27, U+0E49","THAI CHARACTER WO WAEN, THAI CHARACTER MAI THO"
"ขึ้",19312,"U+0E02, U+0E36, U+0E49","THAI CHARACTER KHO KHAI, THAI CHARACTER SARA UE, THAI CHARACTER MAI THO"
"พื่",19310,"U+0E1E, U+0E37, U+0E48","THAI CHARACTER PHO PHAN, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK"
"ทุ",19150,"U+0E17, U+0E38","THAI CHARACTER THO THAHAN, THAI CHARACTER SARA U"
"ฮ",18961,"U+0E2E","THAI CHARACTER HO NOKHUK"
"กำ",18865,"U+0E01, U+0E33","THAI CHARACTER KO KAI, THAI CHARACTER SARA AM"
"s",18669,"U+0073","LATIN SMALL LETTER S"
"ฟ",18440,"U+0E1F","THAI CHARACTER FO FAN"
"จั",18304,"U+0E08, U+0E31","THAI CHARACTER CHO CHAN, THAI CHARACTER MAI HAN-AKAT"
"นั",17985,"U+0E19, U+0E31","THAI CHARACTER NO NU, THAI CHARACTER MAI HAN-AKAT"
"บ้",17919,"U+0E1A, U+0E49","THAI CHARACTER BO BAIMAI, THAI CHARACTER MAI THO"
"สุ",17843,"U+0E2A, U+0E38","THAI CHARACTER SO SUA, THAI CHARACTER SARA U"
"พู",17496,"U+0E1E, U+0E39","THAI CHARACTER PHO PHAN, THAI CHARACTER SARA UU"
"ย์",16920,"U+0E22, U+0E4C","THAI CHARACTER YO YAK, THAI CHARACTER THANTHAKHAT"
"สิ่",16715,"U+0E2A, U+0E34, U+0E48","THAI CHARACTER SO SUA, THAI CHARACTER SARA I, THAI CHARACTER MAI EK"
"สี",16436,"U+0E2A, U+0E35","THAI CHARACTER SO SUA, THAI CHARACTER SARA II"
"ห์",15307,"U+0E2B, U+0E4C","THAI CHARACTER HO HIP, THAI CHARACTER THANTHAKHAT"
"ลู",15224,"U+0E25, U+0E39","THAI CHARACTER LO LING, THAI CHARACTER SARA UU"
"ห็",15037,"U+0E2B, U+0E47","THAI CHARACTER HO HIP, THAI CHARACTER MAITAIKHU"
"ช้",14923,"U+0E0A, U+0E49","THAI CHARACTER CHO CHANG, THAI CHARACTER MAI THO"
"อ้",14863,"U+0E2D, U+0E49","THAI CHARACTER O ANG, THAI CHARACTER MAI THO"
"ส่",14742,"U+0E2A, U+0E48","THAI CHARACTER SO SUA, THAI CHARACTER MAI EK"
"ถู",14562,"U+0E16, U+0E39","THAI CHARACTER THO THUNG, THAI CHARACTER SARA UU"
"ที",14526,"U+0E17, U+0E35","THAI CHARACTER THO THAHAN, THAI CHARACTER SARA II"
"h",14486,"U+0068","LATIN SMALL LETTER H"
"ชื่",14174,"U+0E0A, U+0E37, U+0E48","THAI CHARACTER CHO CHANG, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK"
"มื่",13887,"U+0E21, U+0E37, U+0E48","THAI CHARACTER MO MA, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK"
"พ่",13319,"U+0E1E, U+0E48","THAI CHARACTER PHO PHAN, THAI CHARACTER MAI EK"
"นิ",13299,"U+0E19, U+0E34","THAI CHARACTER NO NU, THAI CHARACTER SARA I"
"สำ",13293,"U+0E2A, U+0E33","THAI CHARACTER SO SUA, THAI CHARACTER SARA AM"
"l",13200,"U+006C","LATIN SMALL LETTER L"
"ดิ",13197,"U+0E14, U+0E34","THAI CHARACTER DO DEK, THAI CHARACTER SARA I"
"ร่",13002,"U+0E23, U+0E48","THAI CHARACTER RO RUA, THAI CHARACTER MAI EK"
"ลื",12987,"U+0E25, U+0E37","THAI CHARACTER LO LING, THAI CHARACTER SARA UEE"
"ภ",12805,"U+0E20","THAI CHARACTER PHO SAMPHAO"
"""",12632,"U+0022","QUOTATION MARK"
"อั",12398,"U+0E2D, U+0E31","THAI CHARACTER O ANG, THAI CHARACTER MAI HAN-AKAT"
"มั้",12111,"U+0E21, U+0E31, U+0E49","THAI CHARACTER MO MA, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO"
"g",11657,"U+0067","LATIN SMALL LETTER G"
"ชี",11617,"U+0E0A, U+0E35","THAI CHARACTER CHO CHANG, THAI CHARACTER SARA II"
"u",11579,"U+0075","LATIN SMALL LETTER U"
"บั",11265,"U+0E1A, U+0E31","THAI CHARACTER BO BAIMAI, THAI CHARACTER MAI HAN-AKAT"
"หั",11001,"U+0E2B, U+0E31","THAI CHARACTER HO HIP, THAI CHARACTER MAI HAN-AKAT"
"ยิ",10821,"U+0E22, U+0E34","THAI CHARACTER YO YAK, THAI CHARACTER SARA I"
"d",10285,"U+0064","LATIN SMALL LETTER D"
"ลิ",10280,"U+0E25, U+0E34","THAI CHARACTER LO LING, THAI CHARACTER SARA I"
"m",10117,"U+006D","LATIN SMALL LETTER M"
"นึ่",10036,"U+0E19, U+0E36, U+0E48","THAI CHARACTER NO NU, THAI CHARACTER SARA UE, THAI CHARACTER MAI EK"
"ยุ",9899,"U+0E22, U+0E38","THAI CHARACTER YO YAK, THAI CHARACTER SARA U"
"งั้",9891,"U+0E07, U+0E31, U+0E49","THAI CHARACTER NGO NGU, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO"
"ดั",9641,"U+0E14, U+0E31","THAI CHARACTER DO DEK, THAI CHARACTER MAI HAN-AKAT"
"คำ",9623,"U+0E04, U+0E33","THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA AM"
"ห่",9573,"U+0E2B, U+0E48","THAI CHARACTER HO HIP, THAI CHARACTER MAI EK"
"มิ",9548,"U+0E21, U+0E34","THAI CHARACTER MO MA, THAI CHARACTER SARA I"
"0",9524,"U+0030","DIGIT ZERO"
"c",9448,"U+0063","LATIN SMALL LETTER C"
"รั้",9292,"U+0E23, U+0E31, U+0E49","THAI CHARACTER RO RUA, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO"
"พั",9196,"U+0E1E, U+0E31","THAI CHARACTER PHO PHAN, THAI CHARACTER MAI HAN-AKAT"
"จำ",9118,"U+0E08, U+0E33","THAI CHARACTER CHO CHAN, THAI CHARACTER SARA AM"
"ร็",9050,"U+0E23, U+0E47","THAI CHARACTER RO RUA, THAI CHARACTER MAITAIKHU"
"y",8954,"U+0079","LATIN SMALL LETTER Y"
"ค้",8580,"U+0E04, U+0E49","THAI CHARACTER KHO KHWAI, THAI CHARACTER MAI THO"
"ด็",8571,"U+0E14, U+0E47","THAI CHARACTER DO DEK, THAI CHARACTER MAITAIKHU"
"ปี",8491,"U+0E1B, U+0E35","THAI CHARACTER PO PLA, THAI CHARACTER SARA II"
"อิ",8405,"U+0E2D, U+0E34","THAI CHARACTER O ANG, THAI CHARACTER SARA I"
"ฟั",8317,"U+0E1F, U+0E31","THAI CHARACTER FO FAN, THAI CHARACTER MAI HAN-AKAT"
"ผ่",8194,"U+0E1C, U+0E48","THAI CHARACTER PHO PHUNG, THAI CHARACTER MAI EK"
"ฆ่",8146,"U+0E06, U+0E48","THAI CHARACTER KHO RAKHANG, THAI CHARACTER MAI EK"
"p",8120,"U+0070","LATIN SMALL LETTER P"
"ลี",8119,"U+0E25, U+0E35","THAI CHARACTER LO LING, THAI CHARACTER SARA II"
"อ่",8078,"U+0E2D, U+0E48","THAI CHARACTER O ANG, THAI CHARACTER MAI EK"
"b",7952,"U+0062","LATIN SMALL LETTER B"
"กี่",7917,"U+0E01, U+0E35, U+0E48","THAI CHARACTER KO KAI, THAI CHARACTER SARA II, THAI CHARACTER MAI EK"
"1",7789,"U+0031","DIGIT ONE"
"ม้",7715,"U+0E21, U+0E49","THAI CHARACTER MO MA, THAI CHARACTER MAI THO"
"บุ",7541,"U+0E1A, U+0E38","THAI CHARACTER BO BAIMAI, THAI CHARACTER SARA U"
"พิ",7368,"U+0E1E, U+0E34","THAI CHARACTER PHO PHAN, THAI CHARACTER SARA I"
"ตั้",7313,"U+0E15, U+0E31, U+0E49","THAI CHARACTER TO TAO, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO"
"ผิ",7290,"U+0E1C, U+0E34","THAI CHARACTER PHO PHUNG, THAI CHARACTER SARA I"
"#",7274,"U+0023","NUMBER SIGN"
"'",7238,"U+0027","APOSTROPHE"
"ซึ่",7087,"U+0E0B, U+0E36, U+0E48","THAI CHARACTER SO SO, THAI CHARACTER SARA UE, THAI CHARACTER MAI EK"
"น้ำ",7083,"U+0E19, U+0E49, U+0E33","THAI CHARACTER NO NU, THAI CHARACTER MAI THO, THAI CHARACTER SARA AM"
"ท้",7051,"U+0E17, U+0E49","THAI CHARACTER THO THAHAN, THAI CHARACTER MAI THO"
"ชิ",7022,"U+0E0A, U+0E34","THAI CHARACTER CHO CHANG, THAI CHARACTER SARA I"
"ฉ",6929,"U+0E09","THAI CHARACTER CHO CHING"
