"Grapheme","Frequency","Codepoint","UnicodeName"
"တိ",2505,"U+1010, U+102D","MYANMAR LETTER TA, MYANMAR VOWEL SIGN I"
"စိ",2465,"U+1005, U+102D","MYANMAR LETTER CA, MYANMAR VOWEL SIGN I"
"အေ",2450,"U+1021, U+1031","MYANMAR LETTER A, MYANMAR VOWEL SIGN E"
"တ္",2344,"U+1010, U+1039","MYANMAR LETTER TA, MYANMAR SIGN VIRAMA"
"ကဲ့",2334,"U+1000, U+1032, U+1037","MYANMAR LETTER KA, MYANMAR VOWEL SIGN AI, MYANMAR SIGN DOT BELOW"
"နို",2333,"U+1014, U+102D, U+102F","MYANMAR LETTER NA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ဇ်",2250,"U+1007, U+103A","MYANMAR LETTER JA, MYANMAR SIGN ASAT"
"စီ",2224,"U+1005, U+102E","MYANMAR LETTER CA, MYANMAR VOWEL SIGN II"
"ဘေ",2224,"U+1018, U+1031","MYANMAR LETTER BHA, MYANMAR VOWEL SIGN E"
"ဤ",2191,"U+1024","MYANMAR LETTER II"
"မီ",2178,"U+1019, U+102E","MYANMAR LETTER MA, MYANMAR VOWEL SIGN II"
"ခု",2175,"U+1001, U+102F","MYANMAR LETTER KHA, MYANMAR VOWEL SIGN U"
"ဝိ",2129,"U+101D, U+102D","MYANMAR LETTER WA, MYANMAR VOWEL SIGN I"
"ရှေ့",2095,"U+101B, U+103E, U+1031, U+1037","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN E, MYANMAR SIGN DOT BELOW"
"ထေ",2089,"U+1011, U+1031","MYANMAR LETTER THA, MYANMAR VOWEL SIGN E"
"အိ",2075,"U+1021, U+102D","MYANMAR LETTER A, MYANMAR VOWEL SIGN I"
"လွ",2042,"U+101C, U+103D","MYANMAR LETTER LA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဟ",1995,"U+101F","MYANMAR LETTER HA"
"မု",1961,"U+1019, U+102F","MYANMAR LETTER MA, MYANMAR VOWEL SIGN U"
"နေ့",1955,"U+1014, U+1031, U+1037","MYANMAR LETTER NA, MYANMAR VOWEL SIGN E, MYANMAR SIGN DOT BELOW"
"ဇ",1937,"U+1007","MYANMAR LETTER JA"
"ထဲ",1897,"U+1011, U+1032","MYANMAR LETTER THA, MYANMAR VOWEL SIGN AI"
"ဧ",1891,"U+1027","MYANMAR LETTER E"
"ကျေ",1883,"U+1000, U+103B, U+1031","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN E"
"ဘို့",1836,"U+1018, U+102D, U+102F, U+1037","MYANMAR LETTER BHA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"ယူ",1817,"U+101A, U+1030","MYANMAR LETTER YA, MYANMAR VOWEL SIGN UU"
"ဟူ",1814,"U+101F, U+1030","MYANMAR LETTER HA, MYANMAR VOWEL SIGN UU"
"ခေ",1782,"U+1001, U+1031","MYANMAR LETTER KHA, MYANMAR VOWEL SIGN E"
"ထွ",1738,"U+1011, U+103D","MYANMAR LETTER THA, MYANMAR CONSONANT SIGN MEDIAL WA"
"ဥ",1732,"U+1025","MYANMAR LETTER U"
"စုံ",1727,"U+1005, U+102F, U+1036","MYANMAR LETTER CA, MYANMAR VOWEL SIGN U, MYANMAR SIGN ANUSVARA"
"ဂ",1642,"U+1002","MYANMAR LETTER GA"
"ကွ",1641,"U+1000, U+103D","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL WA"
"သီ",1640,"U+101E, U+102E","MYANMAR LETTER SA, MYANMAR VOWEL SIGN II"
"ဟေ",1633,"U+101F, U+1031","MYANMAR LETTER HA, MYANMAR VOWEL SIGN E"
"င်္",1625,"U+1004, U+103A, U+1039","MYANMAR LETTER NGA, MYANMAR SIGN ASAT, MYANMAR SIGN VIRAMA"
"ဒ်",1622,"U+1012, U+103A","MYANMAR LETTER DA, MYANMAR SIGN ASAT"
