iso_639_3,glottocode,wals.code,name_glotto,name_wals,folder_name,status,family_id,top_level_family,genus_wals,family_wals,macroarea_glotto,macroarea_wals,latitude_glotto,longitude_glotto,latitude_wals,longitude_wals
laj,lang1324,lan,Lango (Uganda),Lango,Lango (laj),NA,nilo1247,Nilotic,Nilotic,Eastern Sudanic,Africa,Africa,2.13867,33.0553,2.1666666667,33
lez,lezg1247,lez,Lezgian,Lezgian,Lezgian (lez),Vulnerable,nakh1245,Nakh-Daghestanian,Lezgic,Nakh-Daghestanian,Eurasia,Eurasia,41.5157,47.8951,41.6666666667,47.8333333333
lkt,lako1247,lkt,Lakota,Lakhota,Lakota (lkt),Critically endangered,siou1252,Siouan,Core Siouan,Siouan,North America,North America,46.3699,-103.95,43.8333333333,-101.833333333
lue,luva1239,luv,Luvale,Luvale,Luvale (lue),NA,atla1278,Atlantic-Congo,Bantoid,Niger-Congo,Africa,Africa,-13.5382,22.2924,-12,22
lvk,lavu1241,lav,Lavukaleve,Lavukaleve,Lavukaleve (lvk),NA,,NA,Lavukaleve,Solomons East Papuan,Papunesia,Papunesia,-9.05569,159.119,-9.0833333333,159.2
mig,sanm1295,mxc,San Miguel El Grande Mixtec,Mixtec (Chalcatongo),Mixtec_Chalcatongo (mig),NA,otom1299,Otomanguean,Mixtecan,Oto-Manguean,North America,North America,17.0777,-97.5432,17.05,-97.5833333333
mni,mani1292,mei,Manipuri,Meithei,Meithei (mni),Vulnerable,sino1245,Sino-Tibetan,Kuki-Chin,Sino-Tibetan,Eurasia,Eurasia,24.4409,93.3426,24.75,94
mpc,mang1381,myi,Mangarrayi,Mangarrayi,Mangarrayi (mpc),Critically endangered,mang1423,Mangarrayi-Maran,Mangarrayi,Mangarrayi-Maran,Australia,Australia,-14.7982,133.803,-14.6666666667,133.5
mph,maun1240,mau,Mawng,Maung,Maung (mph),Vulnerable,iwai1246,Iwaidjan Proper,Iwaidjan,Iwaidjan,Australia,Australia,-11.8393,133.185,-11.9166666667,133.5
mrc,mari1440,mar,Maricopa,Maricopa,Maricopa (mrc),Severely endangered,coch1271,Cochimi-Yuman,Yuman,Hokan,North America,North America,33.5123,-111.749,33.1666666667,-113.166666667
mya,nucl1310,brm,Burmese,Burmese,Burmese (mya),Safe,sino1245,Sino-Tibetan,Burmese-Lolo,Sino-Tibetan,Eurasia,Eurasia,20.7926,93.9665,21,96
myh,maka1318,mak,Makah,Makah,Makah (myh),Critically endangered,waka1280,Wakashan,Southern Wakashan,Wakashan,North America,North America,48.3258,-124.616,48.3333333333,-124.666666667
myp,pira1253,prh,Pirahã,Pirahã,Piraha (myp),Vulnerable,,NA,Mura,Mura,South America,South America,-6.77713,-61.8167,-7,-62
mzh,wich1264,wch,Wichí Lhamtés Güisnay,Wichí,Wichi (mzh),Vulnerable,mata1289,Matacoan,Matacoan,Matacoan,South America,South America,-23.1633,-62.1757,-22.5,-62.5833333333
naq,nama1264,kho,Nama (Namibia),Khoekhoe,Khoekhoe (naq),NA,khoe1240,Khoe-Kwadi,Khoe-Kwadi,Khoe-Kwadi,Africa,Africa,-25.0747,17.9767,-25.5,18
one,onei1249,ond,Oneida,Oneida,Oneida (one),Critically endangered,iroq1247,Iroquoian,Northern Iroquoian,Iroquoian,North America,North America,43.438742,-75.708106,43,-75.6666666667
ote,mezq1235,otm,Mezquital Otomi,Otomí (Mezquital),Otomi_Mezquital (ote),Definitely endangered,otom1299,Otomanguean,Otomian,Oto-Manguean,North America,North America,20.2274,-99.5564,20.1666666667,-99.1666666667
pav,wari1268,war,Wari',Wari',Wari (pav),Definitely endangered,chap1271,Chapacuran,Chapacura-Wanham,Chapacura-Wanham,South America,South America,-10.69948,-64.56152,-11.3333333333,-65
pes,west2369,prs,Western Farsi,Persian,Persian (pes),Safe,indo1319,Indo-European,Iranian,Indo-European,Eurasia,Eurasia,28.6593,55.1586,32,54
plt,plat1254,mal,Plateau Malagasy,Malagasy,Malagasy (plt),NA,aust1307,Austronesian,Barito,Austronesian,Africa,Africa,-19.5907,47.1211,-20,47
pwn,paiw1248,pai,Paiwan,Paiwan,Paiwan (pwn),Vulnerable,aust1307,Austronesian,Paiwan,Austronesian,Papunesia,Papunesia,22.3271,120.806,22.5,120.833333333
qvi,imba1240,qim,Imbabura Highland Quichua,Quechua (Imbabura),Quechua_Imbabura (qvi),NA,quec1387,Quechuan,Quechuan,Quechuan,South America,South America,0.31776,-78.3729,0.3333333333,-78
ram,cane1242,ckr,Canela-Krahô,Canela-Krahô,Canela-Kraho (ram),Vulnerable,nucl1710,Nuclear-Macro-Je,Ge-Kaingang,Macro-Ge,South America,South America,-6.10712,-45.1299,-6,-46
rap,rapa1244,rap,Rapanui,Rapanui,Rapanui (rap),Severely endangered,aust1307,Austronesian,Oceanic,Austronesian,Papunesia,Papunesia,-27.113,-109.342,-27.1166666667,-109.366666667
rma,rama1270,ram,Rama,Rama,Rama (rma),NA,chib1249,Chibchan,Rama,Chibchan,North America,North America,11.5007,-83.8571,11.75,-83.75
rus,russ1263,rus,Russian,Russian,Russian (rus),Safe,indo1319,Indo-European,Slavic,Indo-European,Eurasia,Eurasia,59,50,56,38
sag,sang1328,san,Sango,Sango,Sango (sag),NA,atla1278,Atlantic-Congo,Ubangi,Niger-Congo,Africa,Africa,6.78584,20.1702,5,18
scs,nort2942,sla,North Slavey,Slave,Slave (scs),Definitely endangered,atha1245,Athabaskan-Eyak-Tlingit,Athapaskan,Na-Dene,North America,North America,63.2671,-123.641,67,-125
ses,koyr1242,kse,Koyraboro Senni Songhai,Koyraboro Senni,Koyraboro Senni (ses),NA,song1307,Songhay,Songhay,Songhay,Africa,Africa,16.9634,-0.55187,16,0
spa,stan1288,spa,Spanish,Spanish,Spanish (spa),Safe,indo1319,Indo-European,Romance,Indo-European,Eurasia,Eurasia,40.4414,-1.11788,40,-4
spp,supy1237,sup,Supyire Senoufo,Supyire,Supyire (spp),NA,atla1278,Atlantic-Congo,Gur,Niger-Congo,Africa,Africa,11.632,-5.87709,11.5,-5.5833333333
swh,swah1253,swa,Swahili,Swahili,Swahili (swh),Safe,atla1278,Atlantic-Congo,Bantoid,Niger-Congo,Africa,Africa,-8.25605,37.624,-6.5,39
tgl,taga1270,tag,Tagalog,Tagalog,Tagalog (tgl),Safe,aust1307,Austronesian,Greater Central Philippine,Austronesian,Papunesia,Papunesia,14.06,121.747,15,121
tha,thai1261,tha,Thai,Thai,Thai (tha),Safe,taik1256,Tai-Kadai,Kam-Tai,Tai-Kadai,Eurasia,Eurasia,14.192,100.671,16,101
tiw,tiwi1244,tiw,Tiwi,Tiwi,Tiwi (tiw),Vulnerable,,NA,Tiwian,Tiwian,Australia,Australia,-11.6308,130.949,-11.5,131
tml,tamn1235,asm,Tamnim Citak,Asmat,Asmat (tml),NA,nucl1709,Nuclear Trans New Guinea,Asmat-Kamoro,Trans-New Guinea,Papunesia,Papunesia,-5.57962,139.233,-5.5,138.5
tur,nucl1301,tur,Turkish,Turkish,Turkish (tur),Safe,turk1311,Turkic,Turkic,Altaic,Eurasia,Eurasia,39.8667,32.8667,39,35
tzm,cent2194,bma,Central Moroccan Berber,Berber (Middle Atlas),Berber_Middle Atlas (tzm),NA,afro1255,Afro-Asiatic,Berber,Afro-Asiatic,Africa,Africa,32.7415,-2.40872,33,-5
vie,viet1252,vie,Vietnamese,Vietnamese,Vietnamese (vie),Safe,aust1305,Austroasiatic,Viet-Muong,Austro-Asiatic,Eurasia,Eurasia,20.681188,105.774071,10.5,106.5
vma,mart1255,mrt,Martuthunira,Martuthunira,Martuthunira (vma),NA,pama1250,Pama-Nyungan,Western Pama-Nyungan,Pama-Nyungan,Australia,Australia,-20.9294,116.607,-20.8333333333,116.5
wba,wara1303,wra,Warao,Warao,Warao (wba),Definitely endangered,,NA,Warao,Warao,South America,South America,7.50851,-59.3528,9.3333333333,-61.6666666667
wic,wich1260,wic,Wichita,Wichita,Wichita (wic),Critically endangered,cadd1255,Caddoan,Caddoan,Caddoan,North America,North America,35.0665,-98.1831,33.3333333333,-97.3333333333
wyb,wang1291,ngi,Ngiyambaa,Ngiyambaa,Ngiyambaa (wyb),Critically endangered,pama1250,Pama-Nyungan,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,Australia,-30.6481,146.18,-31.75,145.5
xsu,sanu1240,snm,Sanumá,Sanuma,Sanuma (xsu),Vulnerable,yano1268,Yanomamic,Yanomam,Yanomam,South America,South America,1.31875,-67.6498,4.5,-64.6666666667
yad,yagu1244,yag,Yagua,Yagua,Yagua (yad),Definitely endangered,peba1241,Peba-Yagua,Peba-Yaguan,Peba-Yaguan,South America,South America,-3.42913,-72.2186,-3.5,-72
yaq,yaqu1251,yaq,Yaqui,Yaqui,Yaqui (yaq),Vulnerable,utoa1244,Uto-Aztecan,Cahita,Uto-Aztecan,North America,North America,29.9446,-110.681,27.5,-110.25
yor,yoru1245,yor,Yoruba,Yoruba,Yoruba (yor),NA,atla1278,Atlantic-Congo,Defoid,Niger-Congo,Africa,Africa,7.15345,3.67225,8,4.3333333333
zoc,copa1236,zqc,Copainalá Zoque,Zoque (Copainalá),Zoque_Copainala (zoc),NA,mixe1284,Mixe-Zoque,Mixe-Zoque,Mixe-Zoque,North America,North America,17.2157,-93.3183,17,-93.25
zul,zulu1248,zul,Zulu,Zulu,Zulu (zul),NA,atla1278,Atlantic-Congo,Bantoid,Niger-Congo,Africa,Africa,-25.3305,31.3512,-30,30
