iso_639_3,glottocode,wals.code,name_glotto,name_wals,status,latitude,longitude,grammar_download,text_download,online_resources,Any_material,number_of_texts,number_of_genera,number_of_tokens
kut,kute1249,kut,Kutenai,Kutenai,Severely endangered,48.7892,-115.065,yes,yes,,yes,,,
lez,lezg1247,lez,Lezgian,Lezgian,Vulnerable,41.5157,47.8951,yes,,yes,yes,,,
lkt,lako1247,lkt,Lakota,Lakhota,Critically endangered,46.3699,-103.95,yes,yes,yes,yes,,,
lvk,lavu1241,lav,Lavukaleve,Lavukaleve,NA,-9.05569,159.119,yes,,yes,yes,,,
mni,mani1292,mei,Manipuri,Meithei,Vulnerable,24.4409,93.3426,yes,,yes,yes,,,
mpc,mang1381,myi,Mangarrayi,Mangarrayi,Critically endangered,-14.7982,133.803,yes,,(yes),yes,,,
mrc,mari1440,mar,Maricopa,Maricopa,Severely endangered,33.5123,-111.749,yes,,,yes,,,
myp,pira1253,prh,PirahÃ£,Pirahã,Vulnerable,-6.77713,-61.8167,yes,,yes,yes,,,
one,onei1249,ond,Oneida,Oneida,Critically endangered,43.438742,-75.708106,yes,,yes,yes,,,
pav,wari1268,war,Wari',Wari',Definitely endangered,-10.69948,-64.56152,yes,(yes),,yes,,,
pwn,paiw1248,pai,Paiwan,Paiwan,Vulnerable,22.3271,120.806,yes,yes,,yes,,,
ram,cane1242,ckr,Canela-KrahÃ´,Canela-Krahô,Vulnerable,-6.10712,-45.1299,yes,,yes,yes,,,
rap,rapa1244,rap,Rapanui,Rapanui,Severely endangered,-27.113,-109.342,yes,,yes,yes,,,
rma,rama1270,ram,Rama,Rama,NA,11.5007,-83.8571,yes,yes,(yes),yes,,,
scs,nort2942,sla,North Slavey,Slave,Definitely endangered,63.2671,-123.641,yes,,,yes,,,
ses,koyr1242,kse,Koyraboro Senni Songhai,Koyraboro Senni,NA,16.9634,-0.55187,yes,,(yes),yes,,,
spp,supy1237,sup,Supyire Senoufo,Supyire,NA,11.632,-5.87709,yes,yes,(yes),yes,,,
tiw,tiwi1244,tiw,Tiwi,Tiwi,Vulnerable,-11.6308,130.949,yes,,yes,yes,,,
tml,tamn1235,asm,Tamnim Citak,Asmat,NA,-5.57962,139.233,yes,,,yes,,,
vma,mart1255,mrt,Martuthunira,Martuthunira,NA,-20.9294,116.607,yes,yes,(yes),yes,,,
wba,wara1303,wra,Warao,Warao,Definitely endangered,7.50851,-59.3528,yes,yes,,yes,,,
wyb,wang1291,ngi,Ngiyambaa,Ngiyambaa,Critically endangered,-30.6481,146.18,yes,yes,(yes),yes,,,
zoc,copa1236,zqc,CopainalÃ¡ Zoque,Zoque (Copainalá),NA,17.2157,-93.3183,yes,yes,yes,yes,,,
