# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40003012	Tuunii gart ni shigshuur baina . Ter utremee guitsed tseverleed , Ooriin ulaan buudaig saravchind ovoolj , harin hiveg halisyg ni untarshgui galaar shataana gej helev .
40003013	Tegeed Yesus Iohanaar baptism hurtehiin tuld Galilaas Iordand tuun deer irev .
40003014	Harin Iohan — Bi Tanaar baptism hurteh uchirtai baital Ta nad uruu irne uu ? geed , Tuuniig boliulahyg oroldtol ,
40003015	Yesus hariud ni — Ene udaad uuniig zovshoor . Ingesneeree alivaa zovt baidlyg guitselduuleh ni bidend zohitsoj baina gej helehed ter Tuund zovshoorov .
40003016	Yesus baptism hurteed , golyn usnaas ter darui garah uyed tenger zaagdaj , Burhany Suns tagtaa lugaa adil buuj , Tuun deer irehiig ter harav .
40003017	Tengerees — Ene bol Minii hairt Huu . Tuund Minii taalal orshdog geh duu garlaa .
40004001	Yesus diavold sorigdohoor tsol uruu Sunseer hotlogdov .
40004002	Ter dochin odor , dochin shono matsag barisny etsest olsjee .
40004003	Sorigch ireed , Tuund — Herev Chi Burhany Huu mon bol ene chuluunuudyg talh bol gej tushaa gev .
40004004	Gevch Yesus — " Hun zovhon talhaar bus , harin Burhany amnaas garah ug bureer amidarna " gej bichigdsen baidag gej helev .
40004005	Tegehed diavol Tuuniig ariun hotod avaachij , sumiin oroi deer zogsoogood ,
40004006	Tuund — Herev Chi Burhany Huu mon yum bol dooshoo user . Uchir ni " Chamd sanaa tavih uurgiig Ter tenger elch nartaa ogno . Ted gar deeree Chamaig orgood avch yavna . Es tegvel Chi holoo chuluund tsohichih vii " gej bichigdsen baidag shuu dee gev .
40004007	Yesus — " Ooriin Burhan Ezenee buu sori " gej bas bichigdsen baidag gev .
40004008	Diavol dahin Tuuniig asar ondor uuland avaachaad delhiin buh haanchlaluudyg bolon sur huchiig ni uzuuleed , —
40004009	Herev Chi sohron , nadad morgovol , ene buhniig bi Chamd ogiye gej helehed
40004010	Yesus — Zail , Satan aa ! " Chi ooriin Burhan Ezendee morgoj , zovhon Tuund uilchil " gej bichigdsen baidag yum gej hellee .
40004011	Tegeed diavol Tuuniig orhihod , tenger elch nar irj Tuund uilchilj ehlev .
40004012	Yesus Iohanyg barivchlagdsanyg sonsood , Galil uruu butslaa .
40004013	Ter Nazaryg orhij , Zyebulun bolood Naftaliin mujiin nuuryn ereg deh Kapyernaumd irj suuryniv .
40004014	Ene ni esh uzuulegch Isaiagaar heluulsen ni biyelegdsen bogood
40004015	« Iordany chanad tengis hureh zam deerh Zyebuluny bolood Naftaliin nutag , hari undestnuudiin Galil ,
40004016	haranhuid suugch humuus aguu ih gerliig harj , uhliin nutagt ba suudert suugchdyn deer gerel tusav » gesen yum .
40004017	Ter tsagaas ehlen Yesus — Gemshitsgee ! Tengeriin haanchlal oirhon baina gej tunhaglaj ehlev .
40004018	Ter Galilyn nuuryn ergeer yavj baihdaa ah duu boloh Pyetr gegddeg Simon , tuunii duu Andryei naryg nuurt tor tavij baigaag harjee . Ted zagaschid aj .
40004019	Yesus tedend — Namaig daga , Bi ta naryg humuusiin zagaschin bolgono gev .
40004020	Ted ter darui toroo orhij Tuuniig dagalaa .
40004021	Ter tendeesee tsaash yavj baigaad oor neg ah duu boloh Zyebyedyeyen hovguun Iakov , tuunii duu Iohan hoyoryg zavin dotroo etseg Zyebyedyeyenhee hamt zagasny toroo selbej baigaag haraad duudav .
40004022	Ter darui ted etsgee zavitaigaa orhij Tuuniig dagalaa .
40004023	Yesus buh Galilaar yavahdaa sinagoguudad ni surgaal aildaj , haanchlalyn sain medeeg tunhaglaj , olon tumnii dotorh aliv torliin ovchin emgegiig edgeej bailaa .
