word,n,rank
completely,83,844
eye,83,845
flock,83,846
fourth,83,847
gift,83,848
greater,83,849
majesty,83,850
names,83,851
rules,83,852
sick,83,853
standing,83,854
struck,83,855
yours,83,856
commander,82,857
forgive,82,858
meat,82,859
middle,82,860
wash,82,861
west,82,862
attacked,81,863
beast,81,864
bowed,81,865
fled,81,866
generations,81,867
jehoshaphat,81,868
labor,81,869
passover,81,870
speaking,81,871
table,81,872
vision,81,873
assembly,80,874
following,80,875
giving,80,876
grow,80,877
king’s,80,878
ordered,80,879
sleep,80,880
till,80,881
worshiped,80,882
escape,79,883
human,79,884
prepare,79,885
princes,79,886
sorrow,79,887
strike,79,888
threw,79,889
began,78,890
beside,78,891
donkey,78,892
gad,78,893
hard,78,894
branches,77,895
cloud,77,896
making,77,897
rejected,77,898
served,77,899
surely,77,900
takes,77,901
wings,77,902
ahead,76,903
defeated,76,904
glad,76,905
healed,76,906
rams,76,907
refuge,76,908
reuben,76,909
smoke,76,910
walked,76,911
broke,75,912
few,75,913
galilee,75,914
hebron,75,915
hide,75,916
household,75,917
pit,75,918
prophesy,75,919
read,75,920
belongs,74,921
committed,74,922
consider,74,923
fellowship,74,924
poured,74,925
slave,74,926
tents,74,927
victory,74,928
white,74,929
beautiful,73,930
compassion,73,931
early,73,932
loud,73,933
neighbor,73,934
powerful,73,935
removed,73,936
sixty,73,937
thus,73,938
already,72,939
eleazar,72,940
except,72,941
flocks,72,942
fool,72,943
foreigners,72,944
guilty,72,945
inside,72,946
pleased,72,947
possession,72,948
pour,72,949
secret,72,950
slaves,72,951
suddenly,72,952
sure,72,953
bethel,71,954
close,71,955
deeds,71,956
divided,71,957
hills,71,958
judges,71,959
mine,71,960
NA,71,961
almighty,70,962
greek,70,963
lamp,70,964
possess,70,965
punishment,70,966
scattered,70,967
simon,70,968
woe,70,969
altars,69,970
continue,69,971
doors,69,972
dream,69,973
hidden,69,974
lift,69,975
shout,69,976
signs,69,977
sky,69,978
traveled,69,979
across,68,980
appeared,68,981
choose,68,982
dan,68,983
held,68,984
immediately,68,985
innocent,68,986
instructions,68,987
jehu,68,988
lebanon,68,989
philistine,68,990
weighed,68,991
believed,67,992
certainly,67,993
donkeys,67,994
jericho,67,995
levi,67,996
saul’s,67,997
song,67,998
talk,67,999
weak,67,1000
amorites,66,1001
creatures,66,1002
cup,66,1003
fast,66,1004
job,66,1005
married,66,1006
piece,66,1007
prince,66,1008
produce,66,1009
riches,66,1010
acts,65,1011
arise,65,1012
cursed,65,1013
disaster,65,1014
established,65,1015
festival,65,1016
increase,65,1017
letter,65,1018
perish,65,1019
prisoners,65,1020
reign,65,1021
reverence,65,1022
stopped,65,1023
streets,65,1024
zedekiah,65,1025
amen,64,1026
apostles,64,1027
boy,64,1028
breath,64,1029
clouds,64,1030
dark,64,1031
garden,64,1032
looking,64,1033
loves,64,1034
nine,64,1035
arm,63,1036
ashamed,63,1037
dedicated,63,1038
famine,63,1039
female,63,1040
horns,63,1041
marry,63,1042
moon,63,1043
obeyed,63,1044
paid,63,1045
shechem,63,1046
thoughts,63,1047
balaam,62,1048
control,62,1049
crown,62,1050
ear,62,1051
foolish,62,1052
forget,62,1053
livestock,62,1054
past,62,1055
responded,62,1056
responsible,62,1057
revealed,62,1058
sacred,62,1059
abimelech,61,1060
accept,61,1061
declare,61,1062
disease,61,1063
eaten,61,1064
flour,61,1065
josiah,61,1066
matter,61,1067
reward,61,1068
rooms,61,1069
scribes,61,1070
sold,61,1071
abner,60,1072
agreement,60,1073
ammonites,60,1074
bashan,60,1075
beasts,60,1076
commandment,60,1077
commit,60,1078
foundation,60,1079
gateway,60,1080
grass,60,1081
grew,60,1082
rebelled,60,1083
shepherds,60,1084
stretched,60,1085
sweet,60,1086
tenth,60,1087
tomorrow,60,1088
violence,60,1089
abram,59,1090
area,59,1091
bad,59,1092
caused,59,1093
fifth,59,1094
force,59,1095
greatly,59,1096
mary,59,1097
means,59,1098
mourn,59,1099
sides,59,1100
stars,59,1101
tomb,59,1102
waste,59,1103
wrote,59,1104
apart,58,1105
brings,58,1106
changed,58,1107
distress,58,1108
feed,58,1109
fought,58,1110
happy,58,1111
israelite,58,1112
months,58,1113
perfect,58,1114
pilate,58,1115
preached,58,1116
satan,58,1117
search,58,1118
sees,58,1119
shouted,58,1120
tyre,58,1121
witnesses,58,1122
abandoned,57,1123
account,57,1124
allow,57,1125
forced,57,1126
friend,57,1127
guilt,57,1128
isaiah,57,1129
least,57,1130
listened,57,1131
precious,57,1132
queen,57,1133
refused,57,1134
sacrificed,57,1135
swear,57,1136
swore,57,1137
teacher,57,1138
zechariah,57,1139
arms,56,1140
asa,56,1141
chariot,56,1142
comfort,56,1143
commands,56,1144
created,56,1145
damascus,56,1146
delight,56,1147
desolate,56,1148
fighting,56,1149
fill,56,1150
grief,56,1151
lose,56,1152
met,56,1153
rose,56,1154
shepherd,56,1155
showed,56,1156
started,56,1157
tried,56,1158
troubled,56,1159
age,55,1160
baptized,55,1161
canaanites,55,1162
celebrate,55,1163
commanders,55,1164
considered,55,1165
descended,55,1166
faces,55,1167
fortified,55,1168
fury,55,1169
harm,55,1170
hears,55,1171
horn,55,1172
image,55,1173
kingdoms,55,1174
mordecai,55,1175
music,55,1176
observe,55,1177
pain,55,1178
pillars,55,1179
reached,55,1180
thrown,55,1181
touch,55,1182
upright,55,1183
using,55,1184
bitter,54,1185
chose,54,1186
circumcised,54,1187
flee,54,1188
honey,54,1189
hungry,54,1190
laban,54,1191
lions,54,1192
mixed,54,1193
mourning,54,1194
neck,54,1195
noah,54,1196
offspring,54,1197
raise,54,1198
region,54,1199
shut,54,1200
stubborn,54,1201
touched,54,1202
wheat,54,1203
act,53,1204
aside,53,1205
camels,53,1206
caught,53,1207
clothed,53,1208
clothing,53,1209
counsel,53,1210
devour,53,1211
gideon,53,1212
grapes,53,1213
iniquity,53,1214
joined,53,1215
man’s,53,1216
meal,53,1217
measure,53,1218
naphtali,53,1219
plans,53,1220
spear,53,1221
stumble,53,1222
vineyard,53,1223
wherever,53,1224
wonders,53,1225
worthless,53,1226
bought,52,1227
counted,52,1228
crying,52,1229
empty,52,1230
gain,52,1231
humble,52,1232
intercourse,52,1233
ishmael,52,1234
needy,52,1235
presented,52,1236
rescued,52,1237
rivers,52,1238
special,52,1239
vine,52,1240
workers,52,1241
arrows,51,1242
court,51,1243
esther,51,1244
handed,51,1245
hearing,51,1246
learn,51,1247
man's,51,1248
pride,51,1249
proclaim,51,1250
recorded,51,1251
simeon,51,1252
statutes,51,1253
swords,51,1254
unleavened,51,1255
azariah,50,1256
bird,50,1257
case,50,1258
change,50,1259
draw,50,1260
dwelling,50,1261
eighty,50,1262
fallen,50,1263
fish,50,1264
samson,50,1265
sexual,50,1266
sinners,50,1267
slaughter,50,1268
steps,50,1269
tore,50,1270
vow,50,1271
zadok,50,1272
allowed,49,1273
aram,49,1274
cedar,49,1275
company,49,1276
cross,49,1277
demons,49,1278
divisions,49,1279
edge,49,1280
garments,49,1281
kinds,49,1282
lying,49,1283
move,49,1284
planted,49,1285
rehoboam,49,1286
request,49,1287
shadow,49,1288
sitting,49,1289
stands,49,1290
teeth,49,1291
testimony,49,1292
vineyards,49,1293
wear,49,1294
weep,49,1295
widow,49,1296
zebulun,49,1297
bethlehem,48,1298
beyond,48,1299
boat,48,1300
crushed,48,1301
declared,48,1302
including,48,1303
levite,48,1304
milk,48,1305
outer,48,1306
praised,48,1307
purple,48,1308
refuse,48,1309
remembered,48,1310
robe,48,1311
sheba,48,1312
sinai,48,1313
sodom,48,1314
staff,48,1315
talking,48,1316
terrible,48,1317
trumpets,48,1318
vessels,48,1319
warriors,48,1320
weight,48,1321
worthy,48,1322
adultery,47,1323
ahaz,47,1324
assembled,47,1325
captains,47,1326
captive,47,1327
capture,47,1328
count,47,1329
drive,47,1330
ends,47,1331
exalted,47,1332
fig,47,1333
forgiven,47,1334
forward,47,1335
hall,47,1336
language,47,1337
lasting,47,1338
lost,47,1339
measured,47,1340
proud,47,1341
rachel,47,1342
service,47,1343
share,47,1344
teaching,47,1345
tear,47,1346
trumpet,47,1347
unfaithful,47,1348
armies,46,1349
arrogant,46,1350
determined,46,1351
escaped,46,1352
establish,46,1353
lamps,46,1354
oppressed,46,1355
rebellious,46,1356
safe,46,1357
scatter,46,1358
seeing,46,1359
terrified,46,1360
tremble,46,1361
blow,45,1362
camped,45,1363
captain,45,1364
defects,45,1365
eternal,45,1366
fools,45,1367
haman,45,1368
pity,45,1369
pleasure,45,1370
prostitute,45,1371
sackcloth,45,1372
shield,45,1373
straight,45,1374
succeeded,45,1375
suffering,45,1376
thorns,45,1377
threshing,45,1378
value,45,1379
willing,45,1380
becomes,44,1381
bore,44,1382
chains,44,1383
corners,44,1384
countries,44,1385
crops,44,1386
descendant,44,1387
eats,44,1388
ephod,44,1389
forest,44,1390
gibeah,44,1391
greet,44,1392
hid,44,1393
issachar,44,1394
jehoiada,44,1395
judea,44,1396
lightning,44,1397
murder,44,1398
parts,44,1399
ruined,44,1400
ruins,44,1401
scribe,44,1402
slaughtered,44,1403
spiritual,44,1404
stretch,44,1405
terror,44,1406
test,44,1407
vain,44,1408
amaziah,43,1409
asher,43,1410
benaiah,43,1411
deceit,43,1412
defeat,43,1413
dies,43,1414
different,43,1415
drank,43,1416
glorious,43,1417
heal,43,1418
israel’s,43,1419
lands,43,1420
nathan,43,1421
poles,43,1422
price,43,1423
remnant,43,1424
satisfied,43,1425
silent,43,1426
stick,43,1427
synagogue,43,1428
tower,43,1429
womb,43,1430
worked,43,1431
working,43,1432
clear,42,1433
daily,42,1434
deal,42,1435
defiled,42,1436
disgrace,42,1437
everywhere,42,1438
fellow,42,1439
grandson,42,1440
inches,42,1441
james,42,1442
line,42,1443
mizpah,42,1444
performed,42,1445
pregnant,42,1446
resurrection,42,1447
rings,42,1448
shake,42,1449
sixth,42,1450
spring,42,1451
taking,42,1452
unless,42,1453
vanity,42,1454
addition,41,1455
ahaziah,41,1456
babylonians,41,1457
bright,41,1458
chiefs,41,1459
clan,41,1460
creature,41,1461
despise,41,1462
fact,41,1463
foreign,41,1464
garment,41,1465
hated,41,1466
included,41,1467
itself,41,1468
joash,41,1469
messenger,41,1470
miracles,41,1471
path,41,1472
plague,41,1473
posts,41,1474
protect,41,1475
punished,41,1476
quiet,41,1477
reproach,41,1478
ruin,41,1479
savior,41,1480
shemaiah,41,1481
torn,41,1482
weeping,41,1483
appearance,40,1484
bury,40,1485
captives,40,1486
careful,40,1487
forgotten,40,1488
fulfilled,40,1489
gath,40,1490
gibeon,40,1491
gilgal,40,1492
helped,40,1493
herod,40,1494
idol,40,1495
judged,40,1496
judgments,40,1497
learned,40,1498
low,40,1499
mean,40,1500
naked,40,1501
prayers,40,1502
preach,40,1503
rod,40,1504
sarah,40,1505
scroll,40,1506
shiloh,40,1507
shimei,40,1508
stake,40,1509
thousands,40,1510
turns,40,1511
washed,40,1512
abundance,39,1513
ai,39,1514
appear,39,1515
approached,39,1516
decided,39,1517
dressed,39,1518
drunk,39,1519
fornication,39,1520
future,39,1521
goods,39,1522
heritage,39,1523
inherit,39,1524
join,39,1525
leads,39,1526
listed,39,1527
opposite,39,1528
sanctuary,39,1529
spirits,39,1530
vengeance,39,1531
virgin,39,1532
ammon,38,1533
ashes,38,1534
balak,38,1535
behalf,38,1536
certain,38,1537
compensation,38,1538
complete,38,1539
confidence,38,1540
courage,38,1541
divide,38,1542
eighth,38,1543
euphrates,38,1544
fail,38,1545
feel,38,1546
finds,38,1547
history,38,1548
horse,38,1549
households,38,1550
jehoiakim,38,1551
jezreel,38,1552
military,38,1553
mouths,38,1554
ourselves,38,1555
perform,38,1556
plagues,38,1557
plain,38,1558
receives,38,1559
robes,38,1560
streams,38,1561
surrounded,38,1562
youth,38,1563
afflicted,37,1564
affliction,37,1565
amount,37,1566
assigned,37,1567
astray,37,1568
beat,37,1569
bowl,37,1570
clay,37,1571
crowds,37,1572
despised,37,1573
devil,37,1574
egyptian,37,1575
examine,37,1576
floor,37,1577
governor,37,1578
heat,37,1579
heshbon,37,1580
important,37,1581
jesse,37,1582
keeps,37,1583
minister,37,1584
pasturelands,37,1585
proclaims,37,1586
question,37,1587
ramah,37,1588
restore,37,1589
seated,37,1590
troubles,37,1591
wheels,37,1592
wounded,37,1593
yoke,37,1594
abandon,36,1595
advice,36,1596
belonged,36,1597
burden,36,1598
cherubim,36,1599
common,36,1600
congregations,36,1601
discipline,36,1602
dreams,36,1603
duty,36,1604
example,36,1605
fifteen,36,1606
group,36,1607
hamath,36,1608
jehoash,36,1609
journey,36,1610
leading,36,1611
leaves,36,1612
needed,36,1613
neighbors,36,1614
ninth,36,1615
noise,36,1616
ordinances,36,1617
palm,36,1618
parents,36,1619
pasture,36,1620
pleasant,36,1621
portion,36,1622
possessions,36,1623
remained,36,1624
sihon,36,1625
spare,36,1626
standard,36,1627
surrounding,36,1628
treasure,36,1629
treat,36,1630
utensils,36,1631
waiting,36,1632
widows,36,1633
amalekites,35,1634
anymore,35,1635
armed,35,1636
big,35,1637
blew,35,1638
boast,35,1639
bowls,35,1640
business,35,1641
captivity,35,1642
conscience,35,1643
curtains,35,1644
deceive,35,1645
depart,35,1646
departed,35,1647
dew,35,1648
divine,35,1649
eating,35,1650
eli,35,1651
finally,35,1652
flowing,35,1653
furious,35,1654
glorified,35,1655
impaled,35,1656
judas,35,1657
otherwise,35,1658
pillar,35,1659
pleasing,35,1660
prey,35,1661
really,35,1662
reject,35,1663
repent,35,1664
ropes,35,1665
sell,35,1666
settled,35,1667
ships,35,1668
shown,35,1669
storm,35,1670
stronghold,35,1671
tabernacle,35,1672
tax,35,1673
tears,35,1674
thank,35,1675
tongues,35,1676
wars,35,1677
wish,35,1678
added,34,1679
asherah,34,1680
awake,34,1681
baruch,34,1682
belt,34,1683
caleb,34,1684
cease,34,1685
circumcision,34,1686
cloth,34,1687
cries,34,1688
