word,n,rank
achi̱,87,318
ndoo,87,319
uni̱,87,320
veka̱a,87,321
jika̱,86,322
ka̱ku,86,323
mesa,86,324
ndúu̱,86,325
yátá,86,326
abraham,85,327
ndéja̱,85,328
kájika,84,329
moisés,84,330
ndéé,84,331
ndɨ̱yi,84,332
kuchaku̱,83,333
naa,83,334
ndatu̱,82,335
nducha,82,336
kaa,81,337
i̱o,80,338
kájito,80,339
náa,80,340
ndé'é,80,341
yani,80,342
yú'u,80,343
kuia̱,79,344
xíin,79,345
káchaa,78,346
kastu̱'ún,78,347
kénda,78,348
tɨku'ni̱,78,349
tuni̱,78,350
bueno,77,351
kándii̱,77,352
kɨtɨ,77,353
ndéta̱tú,77,354
simón,77,355
súchí,77,356
xna'a̱n,77,357
jikán,76,358
nama,76,359
ñaní,76,360
ñáva̱'a,76,361
ndóo,76,362
jíká,75,363
kána,75,364
kúni,74,365
mil,74,366
ndíi,74,367
sía̱,74,368
tá'a̱n,74,369
galilea,73,370
júku̱'un,73,371
játíñu,72,372
yuu̱,72,373
kájika̱n,71,374
níí,71,375
núu,71,376
úu̱,71,377
cruz,70,378
kejá'á,70,379
tá'u̱,70,380
ví'í,70,381
yí'i,70,382
cha̱koyo,69,383
kaja̱'a,69,384
kánde̱'é,69,385
keyu'u,69,386
xáán,69,387
káchiñú'ún,68,388
nduu,68,389
uxi̱,68,390
jukuiñi̱,67,391
ka'ni,67,392
ndúcha,67,393
nɨ́nɨ,67,394
ñú'ún,67,395
xnáñúú,67,396
sátiñu,66,397
sinagoga,66,398
soldado,66,399
ñá'an,65,400
pilato,64,401
sutú,64,402
ta'a̱n,64,403
xu̱'ún,64,404
david,63,405
kuxio,63,406
nɨñi̱,63,407
yatá,63,408
káka,62,409
kiñi'in,62,410
nde'e̱,62,411
mani̱,61,412
nduchi,61,413
yíkɨ,61,414
kúchaku̱,60,415
sándaa̱,60,416
skuá'a,60,417
tɨ́ku'ni̱,60,418
yachi̱,60,419
tú'ún,59,420
nákana,58,421
vái,58,422
chíñú'ún,57,423
jika̱n,57,424
kaka̱n,57,425
lado,57,426
maría,57,427
sa̱'í,57,428
skuánducha,57,429
uní,57,430
uxí,57,431
viko,57,432
vína,57,433
jíni,56,434
kájini,56,435
kájuku̱'un,56,436
kundéé,56,437
xíní,56,438
kusɨɨ̱,55,439
ndénu̱,55,440
ndɨ́'ɨ,54,441
xnáa,54,442
yii,54,443
chíi,53,444
kájandatu̱,53,445
kaji'i̱,53,446
ka̱kandíja,53,447
kɨ́tɨ,53,448
kuá'án,53,449
kúká,53,450
peso,53,451
yuku,53,452
játa'a̱n,52,453
